question,correct_answer,wrong_answer_1,wrong_answer_2,wrong_answer_3,difficulty,notes
"Which country has the highest rate of casual sex?","Iceland","Brazil","France","Sweden",3,"Educational but spicy"
"What percentage of people have had a threesome?","10%","25%","5%","50%",4,""
"Which dating app is known for being primarily for hookups?","Tinder","Bumble","Hinge","Coffee Meets Bagel",2,""
"What does 'DTF' stand for in dating?","Down To F*ck","Down To Fight","Down To Flirt","Date Time Friday",2,"Classic abbreviation"
"What does 'BBC' mean in a sexual context?","Big Black C*ck","British Broadcasting Corporation","Big Beautiful Curves","Best Bedroom Connection",3,"Context matters"
"Which sex toy was originally invented to treat 'hysteria' in women?","Vibrator","Dildo","Butt plug","Handcuffs",5,"Historical fact"
"What's the most popular porn category globally?","MILF","Teen","Big Ass","Anal",4,"Pornhub data"
"How many times does the average person masturbate per week?","4-5 times","Once","10+ times","Never",3,"Average stats"
"What's the scientific term for a foot fetish?","Podophilia","Footosis","Pedalism","Toephilia",5,"Medical terminology"
"What's the average number of sexual partners people claim to have?","7","3","15","25",3,"Self-reported stats"
