scenario,savage_level,context,notes,question_type
"get the ick easily from a guy they're dating",7,"dating","Quick to judge","poll"
"sleep with their ex Taylor who they share 2 dogs with (Benny)",9,"1280 West specific","Personal callout","scored"
"not commit to plans or communicate if they're actually coming (Gina)",8,"1280 West specific","Flaky behavior","scored"
"be too high to function at a normal social event",7,"substance use","Can't handle their shit"
"make the worst decision when drunk tonight",8,"drinking","Poor judgment"
"avoid Tom because he's shit-faced AND kicked a cop",9,"1280 West specific","Tom is a menace"
"refuse to pick up dog poop when walking other people's dogs",6,"1280 West specific","Irresponsible pet care"
"get mad at someone for terrible communication about plans",7,"friendship drama","Hypocrite alert"
"awkwardly run into their former hookup in the 1280 West hallway",8,"1280 West specific","Small building problems"
"pretend they don't see the dog shit everywhere in the building",6,"1280 West specific","Willful ignorance"
"judge someone's questionable date choice in the group chat",7,"dating","Judgmental friend"
"roast someone so hard they need therapy",9,"friendship","Verbal assault"
"be high right now while playing this game",6,"substance use","Current state"
"say they're coming but we're still not totally sure",7,"reliability","Classic flake"
"live across the hall from someone they used to sleep with",8,"1280 West specific","Awkward proximity"
"be the only one without a dog but refuse to clean up when dog sitting",7,"1280 West specific","Irresponsible sitter"
"get stuck in the 1280 elevators that never work",6,"1280 West specific","Building issues"
"think Tom is creepy (everyone agrees on this)",8,"1280 West specific","Universal truth"
"be the messiest person when it comes to dating",8,"dating","Serial disaster"
"accidentally send a nude to their mom",9,"technology fail","Nightmare scenario"
"get kicked out of a wedding for being too drunk",8,"drinking","Special occasion ruined"
"hook up with someone just because they're bored",7,"desperation","Low standards"
"start an OnlyFans account and tell everyone about it",7,"entrepreneurship","Bold career move"
"get arrested for something stupid while drunk",9,"drinking","Criminal record"
"cheat on their partner and immediately confess",8,"relationships","Guilt-ridden"
"get so drunk they tattoo their ex's name on themselves",10,"drinking + poor decisions","Permanent regret"
"slide into their professor's DMs",8,"inappropriate","Boundary issues"
"get rejected by someone half their age",7,"dating","Age appropriate?"
"shit themselves during a job interview",10,"nightmare scenario","Career ender"
"get catfished by someone using a 10-year-old photo",7,"online dating","Catfish victim"
"hook up with their roommate's ex for revenge",9,"friendship ender","Betrayal"
"get so high they order pizza to the wrong address",6,"substance use","Delivery fail"
"drunk-call their boss to quit their job",9,"career suicide","Impulse decision"
"get kicked out of a strip club for being too handsy",9,"inappropriate behavior","Can't follow rules"
"hook up with someone at a funeral",10,"inappropriate timing","Disrespectful"
"get so drunk they wake up married in Vegas",9,"drinking + commitment","Accidental marriage"
"start a fight at a kids birthday party",9,"anger management","Wrong venue"
"get rejected by an AI chatbot romantically",8,"technology + desperation","Rock bottom"
"accidentally like their ex's Instagram post from 3 years ago",7,"social media fail","Stalker exposed"
"fake an orgasm and get caught",8,"awkward moments","Trust issues"
"pay for sex and tell everyone about it",9,"oversharing","TMI"
"get an STD from a one night stand",8,"health risk","Should've wrapped it"
"cry during their first time having sex",7,"emotional","Vulnerable moment"
"sleep with their ex's parent",10,"family drama","Ultimate betrayal"
"get pregnant from a one night stand",9,"life-changing","Oops baby"
"lie about their body count by 500%",8,"dishonesty","Math doesn't check out"
"send dick pics to get free food",8,"transactional","Creative problem solving"
"hook up with someone for their Netflix password",7,"modern bartering","Streaming services > dignity"
"get so desperate they slide into LinkedIn DMs",8,"professional boundary violation","Career networking gone wrong"
"ghost someone after great sex",7,"dating behavior","Hit it and quit it"
"stalk their ex's new partner on social media",8,"jealousy","Can't move on"
