question,correct_answer,wrong_answer_1,wrong_answer_2,wrong_answer_3,difficulty,category,notes
"What year did the iPhone first launch?","2007","2005","2008","2006",2,"Technology","Iconic product launch"
"What is the capital of Australia?","Canberra","Sydney","Melbourne","Brisbane",4,"Geography","Trick question - not Sydney!"
"How many bones are in the adult human body?","206","215","198","220",3,"Science",""
"Which planet is closest to the sun?","Mercury","Venus","Mars","Earth",2,"Science",""
"Who painted the Mona Lisa?","Leonardo da Vinci","Michelangelo","Raphael","Donatello",2,"Art",""
"What is the longest river in the world?","The Nile","The Amazon","The Mississippi","The Yangtze",3,"Geography",""
"How many continents are there?","7","5","6","8",1,"Geography","Basic knowledge"
"What is the largest ocean on Earth?","Pacific Ocean","Atlantic Ocean","Indian Ocean","Arctic Ocean",2,"Geography",""
"How many players are on a basketball team on the court?","5","6","7","4",2,"Sports",""
"What year was Facebook founded?","2004","2005","2003","2006",3,"Technology",""
"Who wrote 'Romeo and Juliet'?","William Shakespeare","Charles Dickens","Jane Austen","Mark Twain",1,"Literature",""
"What is the chemical symbol for gold?","Au","Go","Gd","Gl",3,"Science",""
"How many strings does a standard guitar have?","6","5","7","8",2,"Music",""
"What is the largest planet in our solar system?","Jupiter","Saturn","Neptune","Uranus",2,"Science",""
"In what year did World War II end?","1945","1944","1946","1943",2,"History",""
"What is the capital of France?","Paris","London","Berlin","Madrid",1,"Geography",""
"Who painted 'The Starry Night'?","Vincent van Gogh","Pablo Picasso","Claude Monet","Salvador Dalí",2,"Art",""
"What is the fastest land animal?","Cheetah","Lion","Leopard","Tiger",2,"Science",""
"How many sides does a hexagon have?","6","5","7","8",2,"Math",""
"What is the smallest country in the world?","Vatican City","Monaco","San Marino","Liechtenstein",3,"Geography",""
"Who was the first person to walk on the moon?","Neil Armstrong","Buzz Aldrin","Yuri Gagarin","John Glenn",2,"History",""
"What is the most spoken language in the world?","Mandarin Chinese","English","Spanish","Hindi",3,"Language",""
"How many hearts does an octopus have?","3","1","2","4",4,"Science",""
"What is the largest ocean on Earth?","Pacific Ocean","Atlantic Ocean","Indian Ocean","Arctic Ocean",2,"Geography",""
"Who wrote 'Harry Potter'?","J.K. Rowling","J.R.R. Tolkien","C.S. Lewis","George R.R. Martin",1,"Literature",""
"What is the capital of Japan?","Tokyo","Osaka","Kyoto","Hiroshima",1,"Geography",""
"How many zeros are in one million?","6","5","7","8",2,"Math",""
"What year did the Titanic sink?","1912","1910","1914","1916",2,"History",""
"What is the hardest natural substance on Earth?","Diamond","Gold","Iron","Titanium",2,"Science",""
"How many planets are in our solar system?","8","7","9","10",2,"Science","Pluto isn't a planet anymore!"
"What is the largest mammal on Earth?","Blue Whale","African Elephant","Giraffe","Polar Bear",2,"Science",""
"Who invented the telephone?","Alexander Graham Bell","Thomas Edison","Nikola Tesla","Benjamin Franklin",2,"History",""
"What is the capital of Italy?","Rome","Venice","Florence","Milan",1,"Geography",""
"How many weeks are in a year?","52","50","54","48",2,"Math",""
"What is the currency of Japan?","Yen","Won","Yuan","Ringgit",2,"Geography",""
"Who was the first president of the United States?","George Washington","Thomas Jefferson","John Adams","Benjamin Franklin",1,"History",""
"What is the smallest bone in the human body?","Stapes","Femur","Tibia","Radius",4,"Science","It's in your ear!"
"How many colors are in a rainbow?","7","6","8","5",2,"Science",""
"What is the capital of Canada?","Ottawa","Toronto","Montreal","Vancouver",3,"Geography","Not Toronto!"
"Who wrote '1984'?","George Orwell","Aldous Huxley","Ray Bradbury","Kurt Vonnegut",2,"Literature",""
"What is the largest desert in the world?","Antarctic Desert","Sahara Desert","Arabian Desert","Gobi Desert",4,"Geography","Antarctica is technically a desert!"
"How many minutes are in a day?","1440","1400","1480","1500",3,"Math",""
"What is the speed of light?","299,792 km/s","300,000 km/s","299,000 km/s","298,000 km/s",4,"Science",""
"Who painted the Sistine Chapel ceiling?","Michelangelo","Leonardo da Vinci","Raphael","Donatello",2,"Art",""
"What is the largest country by land area?","Russia","Canada","China","United States",2,"Geography",""
"How many elements are in the periodic table?","118","100","120","110",3,"Science",""
"What year was the first iPhone released?","2007","2006","2008","2009",2,"Technology",""
"What is the capital of Spain?","Madrid","Barcelona","Seville","Valencia",1,"Geography",""
"Who wrote 'Pride and Prejudice'?","Jane Austen","Emily Brontë","Charlotte Brontë","Mary Shelley",2,"Literature",""
"What is the largest organ in the human body?","Skin","Liver","Heart","Brain",3,"Science",""
"How many time zones does Russia have?","11","9","10","12",4,"Geography",""
"What is the smallest prime number?","2","1","3","5",2,"Math",""
"Who discovered penicillin?","Alexander Fleming","Louis Pasteur","Marie Curie","Jonas Salk",3,"Science",""
"What is the capital of Brazil?","Brasília","Rio de Janeiro","São Paulo","Salvador",3,"Geography","Not Rio!"
"How many chromosomes do humans have?","46","44","48","50",3,"Science",""
"What year did the Berlin Wall fall?","1989","1987","1991","1985",2,"History",""
"What is the most abundant gas in Earth's atmosphere?","Nitrogen","Oxygen","Carbon Dioxide","Hydrogen",3,"Science","It's not oxygen!"
"Who was the first woman to win a Nobel Prize?","Marie Curie","Mother Teresa","Jane Addams","Malala Yousafzai",2,"History",""
