question,correct_answer,wrong_answer_1,wrong_answer_2,wrong_answer_3,difficulty,category,notes
"What year did the iPhone first launch?","2007","2005","2008","2006",2,"Technology","Iconic product launch"
"What is the capital of Australia?","Canberra","Sydney","Melbourne","Brisbane",4,"Geography","Trick question - not Sydney!"
"How many bones are in the adult human body?","206","215","198","220",3,"Science",""
"Which planet is closest to the sun?","Mercury","Venus","Mars","Earth",2,"Science",""
"Who painted the Mona Lisa?","Leonardo da Vinci","Michelangelo","Raphael","Donatello",2,"Art",""
"What is the longest river in the world?","The Nile","The Amazon","The Mississippi","The Yangtze",3,"Geography",""
"How many continents are there?","7","5","6","8",1,"Geography","Basic knowledge"
"What is the largest ocean on Earth?","Pacific Ocean","Atlantic Ocean","Indian Ocean","Arctic Ocean",2,"Geography",""
"How many players are on a basketball team on the court?","5","6","7","4",2,"Sports",""
"What year was Facebook founded?","2004","2005","2003","2006",3,"Technology",""
