question,savage_level,notes
"Who's most likely to eat ass on the first date?",10,"Classic savage"
"Who's most likely to hook up with their ex's dad?",10,"Family drama"
"Who's most likely to have a threesome with two people they hate?",9,"Desperate times"
"Who's most likely to hook up in a McDonald's bathroom?",8,"Classy locations"
"Who's most likely to slide into their ex's new partner's DMs?",9,"Petty behavior"
"Who's most likely to fake an orgasm and get caught?",7,"Awkward moments"
"Who's most likely to pay for sex and brag about it?",9,"Questionable flex"
"Who's most likely to get an STD and not tell anyone?",10,"Public health hazard"
"Who's most likely to hook up with their roommate's ex?",8,"Friendship ender"
"Who's most likely to send nudes to the wrong person?",7,"Technology disasters"
"Who's most likely to get caught hooking up in public?",8,"Exhibitionism"
"Who's most likely to lie about their body count by 500%?",9,"Math doesn't add up"
"Who's most likely to hook up with someone for free food?",7,"Transactional relationships"
"Who's most likely to get kicked out of a strip club?",8,"Behavioral issues"
"Who's most likely to drunk text their ex at 3am?",7,"Classic mistake"
"Who's most likely to have kinky shit written on their forehead?",9,"Marker mishaps"
"Who's most likely to bottom for someone with a micropenis?",10,"Size doesn't matter?"
"Who's most likely to top someone twice their age?",8,"Age gap adventures"
"Who's most likely to hook up with a coworker at the office?",7,"HR violation"
"Who's most likely to get caught masturbating by their roommate?",8,"Privacy? What's that?"
"Who's most likely to use their ex's Netflix after the breakup?",6,"Petty theft"
"Who's most likely to stalk their ex's social media daily?",7,"Can't let go"
"Who's most likely to sleep with their Uber driver?",8,"Rating: ⭐⭐⭐⭐⭐"
"Who's most likely to get pregnant/get someone pregnant from a one night stand?",9,"Life-changing oops"
"Who's most likely to cheat and immediately confess?",8,"Guilty conscience"
"Who's most likely to binge-watch an entire series in one night?",4,"Netflix addiction"
"Who's most likely to forget someone's name right after being introduced?",5,"Memory issues"
"Who's most likely to text 'lol' but not actually laugh?",5,"Fake reactions"
"Who's most likely to take a selfie at an inappropriate time?",6,"Social media obsessed"
"Who's most likely to leave someone on read for days?",6,"Ghosting tendencies"
"Who's most likely to show up late to everything?",4,"Chronically late"
"Who's most likely to spend way too much money on food delivery?",5,"DoorDash champion"
"Who's most likely to overshare on social media?",6,"TMI posts"
"Who's most likely to buy something they don't need because it was on sale?",5,"Impulse shopper"
"Who's most likely to start a conversation at 2am?",5,"Night owl energy"
"Who's most likely to accidentally like an old Instagram photo while stalking?",6,"Social media fail"
"Who's most likely to take forever to respond to texts?",5,"Terrible texter"
"Who's most likely to cancel plans last minute?",6,"Flaky friend"
"Who's most likely to embarrass themselves in public?",5,"Clumsy vibes"
"Who's most likely to sing in the shower way too loud?",4,"Shower concerts"
